"id","name","address1","address2","city","state","code","country","phone","website","filepath","descript","last_mod"
"23","Allagash Brewing","100 Industrial Way",,"Portland","Maine","4103","United States","1-800-330-5385","http://www.allagash.com/",,"Allagash Brewing Company sold its first batch of beer in the summer of 1995. The Allagash story, however, has roots that go much further back then the ten years the Portland, Maine brewery has been in operation. The roots go into the early 1990's when founder Rob Tod saw something missing in the American beer market. They are interwoven in the craft brewing movement that has allowed the creativity of brewers to flourish over the last twenty years, and those same roots have ties that go back centuries-to the monasteries of Belgium, whose own ancient brewing methods are now practiced today by the brewers of Allagash. Allagash began as a one-man operation, with Tod assuming all brewing duties in a small space located in a building on the outskirts of the maritime city of Portland. Tod had worked in brewery settings before and recognized a void within the craft brewing movement. While both German and British styles had become prevalent throughout the U.S., the ever-creative Belgian-styles were very difficult to find. Through his travels, Tod had sampled many of these unique beers and felt that the flavors and traditions of this European nation needed to be shared with the American drinking public. He designed a small 15-barrel brewhouse specifically to embrace the Belgian tradition of beer making, gathered the finest array of authentic raw materials and began his quest towards the production of traditional Belgian style ales. Allagash began with the release of its Allagash White, modeled after the traditional White beers of Belgium. Also referred to as wit beers, they get their unique flavor from the use of wheat in place of barley, Curacao orange peel and the careful sprinkling of coriander and other spices. Allagash combined these ingredients with their very own proprietary Belgian yeast strain to create the remarkably unique and refreshing beer that is today their flagship brand. Allagash White developed a strong cult following around the Portland area where it was available at selected draft accounts. Due to its immediate success, the beer was soon made available in 12-ounce six-packs throughout the state of Maine. With the success of the first brand, Rob realized two things: The public was asking for some new styles and the workload was getting to be too much for one person. Soon after, two experienced brewers were hired and Allagash released their second brew, Allagash Double Ale. Using the philosophy and techniques created by the Trappist Monks of Belgium centuries ago, the staff created this beer using seven different malts, a traditional sugar, and their own Belgian yeast strain. The result was another unique yet balanced beer crafted in the classic Belgian style. To truly appreciate the classic styles and brewing traditions of Belgium, one must experience beer created in the classic Belgian package. This is why Allagash, after an extensive period of research, released their distinctive Reserve line of cork finished 750 ML bottles. This unique line employs the ancient tradition referred to as the mÃ©thode champenoise. The technique calls for two fermentations, one in the Brewery's fermenting tanks and the second in the bottle itself. It is this second fermentation that produces a notable increase in carbonation, a softer mouthfeel, and beers of remarkable complexity. This method of bottle conditioning leaves a small amount of yeast in the bottle, creating what is known as a living beer. As a result, these styles have a greatly enhanced shelf life and some styles will age exceptionally, much like a fine wine. Just as the styles originate in Belgium, so does the package itself. To insure authenticity, Allagash imports the bottles and corks directly from the same country that designed the techniques. This enables the beers to reach carbonation levels similar to champagne while allowing the corks to pop characteristically upon serving. Today, Allagash still remains one of very few breweries in North America using this distinctive package. From the very beginning, Allagash has strived to produce the finest Belgian-style and experimental ales this side of the Atlantic. It began as New England's original Belgian-Style brewery and has grown into one of the industry's most distinguished and well-respected brands. Following the time-tested brewing traditions of ancient Belgium, Allagash now produces a broad-ranging portfolio of artisanal beers with uncompromising quality.","2010-07-22 20:00:20"
"25","Allentown Brew Works","814 W Hamilton St",,"Allentown","Pennsylvania","18101","United States","610.433.7777","http://www.thebrewworks.com/allentown-brewworks/",,"The Allentown Brew Works is housed inside the historic Harold's Furniture Building at 812 W Hamilton Street. Years in the making, the new Allentown restaurant and brewery are part of the continuing vision of the Fegley family that established the original Bethlehem Brew Works in 1998. Proud to be part of the resurging downtown, the 400 seat restaurant is a testament to the vibrant heartbeat that thrives in this Queen City. Offering two and a half levels of dining, plus state of the art banquet facilities in The Hamilton Room, and multiple bars offering different atmospheres, as well as an outdoor casual Biergarten and a new seductive lower level lounge ï¿½ Silk.","2010-07-22 20:00:20"
"26","Allguer Brauhaus AG Kempten","Beethovenstrae 7",,"Kempten","Bayern",,"Germany","49-(0)831-/-2050-0",,,,"2010-07-22 20:00:20"
"27","Allguer Brauhaus AG Kempten, Brausttte Leuterschach","Schwendener Strae 18",,"Marktoberdorf","Bayern",,"Germany","49-(0)8342-/-9647-0",,,,"2010-07-22 20:00:20"
"28","Alltech's Lexington Brewing Company","401 Cross Street",,"Lexington","Kentucky","40508","United States","1-859-887-3406","http://www.kentuckyale.com/kentuckyale/Index.html",,"Producers of Kentucky Ale brand.   Also a very esteemed educational institution, specializing in distilling sciences and fermentation sciences.","2010-07-22 20:00:20"
"29","Alpine Beer Company","2351 Alpine Boulevard",,"Alpine","California","91901","United States","1-619-445-2337","http://www.alpinebeerco.com/",,,"2010-07-22 20:00:20"
"30","Alpirsbacher Klosterbru","Marktplatz 1",,"Alpirsbach","Baden-Wrttemberg",,"Germany","49-(0)7444-/-67-0",,,,"2010-07-22 20:00:20"
"31","Alvinne Picobrouwerij","Oostrozebekestraat 114",,"Ingelmunster","West-Vlaanderen",,"Belgium","32-051-/-30-55-17",,,,"2010-07-22 20:00:20"
"32","America's Brewing","205 North Broadway",,"Aurora","Illinois","60505","United States","1-630-264-2739",,,,"2010-07-22 20:00:20"
"33","American River Brewing",,,"Auburn","California",,"United States",,,,,"2010-07-22 20:00:20"
"34","Amerisports Brew Pub","8201 NE Birmingham Road",,"Kansas City","Missouri","64161","United States","1-816-414-7000",,,,"2010-07-22 20:00:20"
"35","Amherst Brewing Company","24 North Pleasant Street",,"Amherst","Massachusetts","1002","United States","413-253-4400","http://www.amherstbrewing.com/",,"Amherst Brewing Company is a full-service brewpub located in downtown Amherst, Massachusetts. Our 10-Barrel brewery is visible from the bar and produces some of the finest ales and lagers for serving in our 150-seat restaurant and 100-seat lounge and game room. Brewery tours can be made by appointment. Our giant, brass-top bar seats over 30 people and is fully stocked, including Single Malt Scotches and Small Batch Bourbons. An additional 40 seats are available on our seasonal patio; the best place in town to relax and enjoy an ABC draft or specialty brew while watching passersby. --From Amherst Website","2010-07-22 20:00:20"
"36","Amicas Pizza, Microbrews and More","136 East Second Street",,"Salida","Colorado","81201","United States","1-719-539-5219",,,,"2010-07-22 20:00:20"
"37","Amstel Brouwerij","Antwoordnummer 7181",,"Amsterdam",,,"Netherlands","800-022-9885","http://www.amstel.com",,,"2010-07-22 20:00:20"
"38","Anacortes Brewing","320 Commercial Avenue",,"Anacortes","Washington","98221","United States","360-588-1720","http://www.anacortesrockfish.com/",,"Our brewers focus on high quality ingredients, a carefully controlled process and delicate handling to provide one of the best beers you will find in the industry. We operate a seven barrel brewery designed and installed by Sound Brewing Systems of Seattle with vessels fabricated by Ripley Stainless in British Columbia. Our brewery features a cold room specially designed for lagering to provide our beers with a traditional character and complexity.","2010-07-22 20:00:20"
"39","Anchor Brewing","1705 Mariposa Street",,"San Francisco","California","94107","United States","1-415-863-8350",,,,"2010-07-22 20:00:20"
"40","Andechser Klosterbrauerei","Bergstrae 2",,"Andechs","Bayern",,"Germany","49-(0)8152-/-376-0",,,,"2010-07-22 20:00:20"
"41","Anderson Valley Brewing","17700 Boonville Rd",,"Boonville","California","95415","United States","1-800-207-2337","http://avbc.com/",,,"2010-07-22 20:00:20"
"42","Andrew's Brewing",,,"Lincolnville","Maine","4849","United States","(207) 763-3305",,,"Andy Hazen is a workhorse of a brewer. From start to finish, he is a one-man operation. The former cabinetmaker is also a self-reliant Mainer through and through. He was originally an all-grain homebrewer who decided to take it to the next level when his friends expressed interest in his beers. He designed the 12-barrel brewing system himself and enlisted a local welder to help put it together. Hazen notes that when you live in Maine, you have to find some service to provide to others in order to survive. For him, brewing is the service he provides to his local community. Located in the rolling hills of Lincolnville, Maine, Andrew's is housed in a renovated farmhouse next to Hazen's home. Finding the brewery is more than half the battle. Have no fear, however, as everyone knows about Andrew's. Also, be aware that due to some thieving souls, the brewery no longer has any signage to announce its existence to the visiting public. The only indication that a brewery exists in the farmhouse are the occasional keg deliveries in Hazen's front yard. And Hazen hasn't been quick to replace the sign either. While he welcomes visitors, you have to remember to clear a path for the busy brewer. Like many other unsung small brewers, running his 5OO-barrel per year brewery is a seven day a week operation for Hazen. Watching Hazen run the brewery is a little like watching Willy Wonka run the Chocolate Factory. When I visit him during a bottling day, Hazen runs between the bottling line and the packaging supplies in a hurried yet methodical manner. He stands up bottles on the line, starts the machine, slides his way across the brewhouse to the packaging materials, and hand assembles the six-packs that will hold the soon-to-be bottled beer. Andrew's beer is straightforward, unassuming and entirely enjoyable. His product line includes the St. Nick Porter, the Northern Brown Ale, the English Pale Ale, and the summer seasonal Ruby's Golden Ale. A celebration of the Amarillo hop, Hazen's English Pale Ale is a delightfully balanced product that neither over or underwhelms the palate.  from beerscribe.com","2010-07-22 20:00:20"
"43","Angelic Brewing",,,"Madison","Wisconsin","53703","United States","1-608-257-2707",,,"(No longer brewing)","2010-07-22 20:00:20"
"44","Anheuser-Busch","One Busch Place",,"Saint Louis","Missouri","63118","United States","1-800-342-5283","http://www.anheuser-busch.com/",,"Anheuser-Busch operates 12 breweries in the United States, 14 in China and one in the United Kingdom. Anheuser-Busch's operations and resources are focused on adding to life's enjoyment not only through the responsible consumption of beer by adults, but through theme park entertainment and packaging.  In the United States, the company holds a 48.5 percent share of U.S. beer sales. Worldwide, Anheuser-Busch's beer sales volume was 128.4 million barrels in 2007.  The St. Louis-based company's subsidiaries include one of the largest U.S. manufacturers of aluminum beverage containers and one of the world's largest recyclers of aluminum beverage cans. Anheuser-Busch also has interests in malt production, rice milling, real estate development, turf farming, metalized and paper label printing, bottle production and transportation services.","2010-07-22 20:00:20"
"45","Appalachian Brewing Company","50 N. Cameron St.",,"Harrisburg","Pennsylvania","17110","United States","717.221.1080","http://www.abcbrew.com",,"Appalachian Brewing Company is a unique large-capacity microbrewery and full-service brewpub located at 50 North Cameron Street Harrisburg, PA.","2010-07-22 20:00:20"
"46","Appleton Brewing",,,"Appleton","Wisconsin",,"United States",,,,,"2010-07-22 20:00:20"
"47","Arcadia Brewing","103 West Michigan Avenue",,"Battle Creek","Michigan","49017","United States","1-269-963-9690","http://www.arcadiaales.com/",,,"2010-07-22 20:00:20"
"48","Arcobrau Grafliches Brauhaus","Schlossalle 1",,"Moos","Baden-Wurttemberg","94554","Germany","09938 / 918 180","http://www.arcobraeu.de",,,"2010-07-22 20:00:20"
"49","Arthur Guinness & Son","St. James's Gate",,"Dublin",,,"Ireland",,"http://www.guinness.com",,,"2010-07-22 20:00:20"
"50","Asahi Breweries","23-1 Azumabashi 1-chome",,"Tokyo","Kanto",,"Japan","81-(03)-5608-5129",,,,"2010-07-22 20:00:20"
"51","Asheville Pizza and Brewing Co.","675 Merrimon Avenue",,"Asheville","North Carolina","28804","United States","(828) 254-1281","http://www.ashevillepizza.com/",,"Asheville Brewpub, Brewery, Movie Theater and Pizzeria all rolled into 2 great places to meet and eat. Award winning beer and award winning pizza.","2010-07-22 20:00:20"
"52","ateck Pivovar","ikovo nmst 81",,"atec",,,"Czech Republic","420-415-710-781",,,,"2010-07-22 20:00:20"
"53","Athenian Brewery","102 Kifissou Avenue",,"Athens",,"0","Greece","30-210-5384911",,,,"2010-07-22 20:00:20"
"54","Atlanta Brewing Company","2323 Defoor Hills Rd NW",,"Atlanta","Georgia","30318","United States","404-355-5558","http://www.atlantabrewing.com/",,,"2010-07-22 20:00:20"
"55","Atlantic Brewing Company","15 Knox Rd.",,"Bar Harbor","Maine","4609","United States","207-288-BEER","http://www.atlanticbrewing.com",,"The Atlantic Brewing Company began brewing in 1991, on the eve of the microbrewing revolution. We have steadily grown over the years by having a strong commitment to tradition, quality and service. As a result, we have become the number one beer of the Bar Harbor region.  In the spirit of old world tradition, our beers are sold and distributed by small independents (not national brands). Our beers are now available in select areas throughout the eastern US. We only brew 60 kegs per day, which allows us to still maintain our commitment to craftsmanship. The result is that our beers enjoy great respect in the beer community. Visit our Tasting Room for more information about our standard ales.  Our new facility was built on the site of an old farm a few miles from downtown Bar Harbor. It was designed to create a more visitor friendly environment similar to country wineries and breweries found throughout Europe.","2010-07-22 20:00:20"
"56","Atwater Block Brewing","237 Joseph Campau Street",,"Detroit","Michigan","48207","United States","1-313-877-9205","http://www.atwaterbeer.com",,"Atwater Block Brewery, located in Detroit's historic Rivertown district is housed in a 1916 factory warehouse that was founded in March of 1997. Our brewing process however, is over 200 years old. We are able to brew our brands in the true heritage style of German lagers. With our imported Kasper Schultz brew house, only the finest malt and hops from Germany are used to brew our lagers and only the finest American hops for our specialty Ale's. Atwater block beers are distinctly fresh and flavorful, which is why we have a slogan We drink all we can and sell the rest..  Atwater Block Brewery is carrying on the rich history of breweries in Detroit, we are THE brewery of the D.","2010-07-22 20:00:20"
"57","August Schell Brewing","1860 Schell Road",,"New Ulm","Minnesota","56073","United States","800-770-5020","http://www.schellsbrewery.com/",,"The August Schell Brewing Company is a brewing company in New Ulm, Minnesota. It was founded by German immigrants August Schell and Jacob Bernhardt in 1860 and passed into the possession of the Schell family in 1866. It is the second oldest family-owned brewery in America and became the oldest and largest brewery in Minnesota when the company bought the Grain Belt rights in 2002.","2010-07-22 20:00:20"
"59","Augusta Brewing","5221 Water Street",,"Augusta","Missouri","63332","United States","1-636-482-2337",,,,"2010-07-22 20:00:20"
"60","Augustiner-BrÃ¤u MÃ¼nchen","Landsberger Strae 35",,"MÃ¼nchen","Bayern",,"Germany","49-(0)89-/-519940","http://www.augustiner-braeu.de",,"Augustiner BrÃ¤u is a brewery located in Munich, Germany. Established in 1328, it is Munich's oldest brewery and produces some of Munich's most popular brands of beer.","2010-07-22 20:00:20"
"61","Australian Brewing Corporation","229-255 Old Melbourne Road",,"Little River","Victoria","3211","Australia","+61 (03) 5283 1161","http://www.australianbrewingcorporation.com/",,,"2010-07-22 20:00:20"
"62","Avery Brewing Company","5763 Arapahoe Avenue",,"Boulder","Colorado","80303","United States","1-877-844-5679","http://www.averybrewing.com/",,"Established in 1993, Avery Brewing Co. is a family owned and operated micro-brewery dedicated to brewing the finest quality English and Belgian style ales.. From humble beginnings, brewing 800 barrels of three different beers in 1994, we have progressed to brewing 13,000 barrels of twenty different beers in 2007. We attribute this success to beer drinkers gravitating to beers with more interesting flavor profiles. The unique flavor complexity of Avery beers occurs through a combination of sparing no expense with regard to ingredients and our hopping methods. Sparing no expense means using lots of specialty malts, imported hops, such as Styrian Goldings, and imported Belgian candy sugar.","2010-07-22 20:00:20"
"63","Back Road Brewery","310 Perry Street",,"LaPorte","Indiana","46350","United States","1-219-362-7623","http://www.backroadbrewery.com/",,,"2010-07-22 20:00:20"
"64","Backcountry Brewery","720 Main Street",,"Frisco","Colorado","80443","United States","1-970-668-2337",,,,"2010-07-22 20:00:20"
"65","Backwater Brewing","1429 West Service Drive",,"Winona","Minnesota","55987","United States","1-507-452-2103",,,,"2010-07-22 20:00:20"
"66","Bad Frog Brewery Company",,,"Rose City","Michigan",,"United States",,,,,"2010-07-22 20:00:20"
"67","Ball- und Brauhaus Watzke","KÃ¶tzschenbroder Str. 1",,"Dresden","Sachsen","1139","Germany",,"http://www.watzke.de",,,"2010-07-22 20:00:20"
"68","Ballast Point Brewing","5401 Linda Vista Road #406",,"San Diego","California","92110","United States","1-800-581-2739","http://www.ballastpoint.com/",,"Ballast Point Brewing Company is one of San Diego's Premiere Breweries. We started out modestly as Home Brew Mart in 1992. Our goal was to teach others how to brew quality handcrafted beer at home. In 1996 the brewery was installed by New World Brewing Systems in the space behind our retail store and production began in September. In May of 2005 we open our second brewery in Scripps Ranch.  We currently distribute five of our favorite beers, Yellowtail Pale Ale,  Calico Amber Ale , Big Eye I.P.A., Black Marlin Porter and Wahoo Wheat Beer to a thirsty San Diego.  Come to our brewery and we will gladly give you a tour and allow you to sample our newest selection of beers. Currently our beer is available in twelve ounce bottles to 15.5 gallon kegs. We also offer half gallon and gallon glass jugs to go. Kegs are available for rent to the public with a minimum deposit.  The name for our brewery comes from the point where Juan Rodriguez Cabrillo first set foot in California. Located on the Point Loma Peninsula, Ballast Point is considered the gateway to San Diego Harbor. Stones from this area were used as ballast in the cargo holds of sailing ships returning to the eastern seaboard. Many New England streets are still lined with the cobblestones brought back from San Diego.","2010-07-22 20:00:20"
"69","Baltimore-Washington Beer Works","P.O. Box 9829",,"Baltimore","Maryland","21284","United States","410.321.1892","http://www.ravenbeer.com/home.html",,"The Baltimore-Washington Beer Works, of Baltimore, Maryland is the first to have launched a beer in another country before ever being produced at home. Production first occurred in Germany prior to any in America.  The Raven was originally produced in the Black Forest and still is produced in the Black Forest region of Baden-WÃ¼rttemberg. The small town of Nagold, south of Stuttgart and west of the university town of TÃ¼bingen, is where the Anker Brewery can be found.   BWBW was founded by Stephen Demczuk of Baltimore, who was partner in Europe's first beer-of-the-month club, Beer Around the World. He, along with Baltimorean, Jim Seay and German beer importer Mr. Wolfgang Stark, styled a beer that would be appealing to the masses, drinkable and enjoyed by both the lager and ale drinker. From the assistance of master brewer Mr. Hans-Martin Walz of Anker Brewery, came The Raven, a beer brewed in honor of Baltimore's literary genius, Edgar Allan Poe. After more than a year operating in Europe, the world's most competitive beer market, production of The Raven began in Baltimore in June of 1998.","2010-07-22 20:00:20"
"70","Bamberger Mahr's-Bru","Wunderburg 10",,"Bamberg","Bayern",,"Germany","49-(0)951-/-91517-0",,,,"2010-07-22 20:00:20"
"71","Bandana Brewery",,,"Mankato","Minnesota",,"United States",,,,,"2010-07-22 20:00:20"
"72","Bar Harbor Brewing Company","8 Mt. Desert Street",,"Bar Harbor","Maine","4609","United States","(207) 288-4592","http://www.barharborbrewing.com/",,,"2010-07-22 20:00:20"
"73","Bard's Tale Beer Company","211 NW Ward Road",,"Lee's Summit","Missouri",,"United States",,,,,"2010-07-22 20:00:20"
"74","Barfer - das kleine Brauhaus","Lautenberg 1",,"Ulm","Baden-Wrttemberg",,"Germany","49-(0)731-/-6021110",,,,"2010-07-22 20:00:20"
"75","Barley Brothers Brewery and Grill","1425 McCulloch Boulevard",,"Lake Havasu City","Arizona","86403","United States","1-928-505-7837",,,,"2010-07-22 20:00:20"
"76","Barley Creek Brewing","RR 1 Box 185",,"Tannersville","Pennsylvania","18372","United States","1-570-629-9399","http://www.barleycreek.com/",,"Located in Tannersville, right off route 80's exit 299 in between the Crossings Outlet Stores and Camelback Ski area (Camelbeach Water Park, Barley Creek is the Pocono Mountains' Original Brewpub and Restaurant, where you can always find great food, freshly brewed beer, a comfortable atmosphere, friendly people, and a unique place to kick back, relax and have a great time. Bring your friends, bring your family, bring your friends' families. We are open every day at 11:01am, and serve dinner till about 10pm. On Friday and Saturday we are serving dinner till about 11:00pm. The bar stays open a little longer (so you can finish your fun if you ordered food just before the kitchen closed) Cheers!","2010-07-22 20:00:20"
"77","Barley Island Brewing","639 Conner Street",,"Noblesville","Indiana","46060","United States","1-317-770-5280",,,,"2010-07-22 20:00:20"
"78","Barley John's Brewpub","781 Old Highway 8 SW",,"New Brighton","Minnesota","55112","United States","1-651-636-4670",,,,"2010-07-22 20:00:20"
"79","Barley's #2 Smokehouse and Brewpub","1130 Dublin Road",,"Columbus","Ohio","43215","United States","1-614-485-0227",,,,"2010-07-22 20:00:20"
"80","Barley's Brewing #1","467 North High Street",,"Columbus","Ohio","43215","United States","1-614-228-2537",,,,"2010-07-22 20:00:20"
"81","Barley's Casino & Brewing Company","4500 East Sunset Road #30",,"Henderson","Nevada","89014","United States","1-702-458-2739",,,,"2010-07-22 20:00:20"
"82","Baron Brewing Company","1605 S 93rd Building E Unit L",,"Seattle","Washington","98108","United States","206.764.1213","http://www.baronbeer.com/",,"Mike Baker and Jeff Smiley founded Baron Brewing in the beginning of 2003. A brewery has been in the works for sometime. Lots of discussions on what if we had a brewery were had, over lots of good German beer. The opportunity came for us to travel to Germany to really get involved with the German brewing process and ideology - as well as sample the best beer on earth. After that trip, the direction of the brewery was set. German beer had to be re-discovered by the population. After many discussions on opening a brewery and a trip to Germany, the dream became reality. We found an existing brewery to purchase - Lunar Brewing. After purchasing Lunar and getting approved for all the necessary licensing, Baron is ready to go. On June 14th, the world of Seattle will have the chance to finally taste and purchase Baron Beer. The first style of many to be released is our flagship beer - Munich Lager.That is all for the history. We are growing on a daily basis and plan to be around for quite some time.","2010-07-22 20:00:20"
"83","Barrel House Brewing Co.","544B W. Liberty St.",,"Cincinnati","Ohio","45214","United States","513-421-2337","http://www.barrelhouse.com",,"Established as a brewpub in 1995 in the historic Over-The-Rhine neighborhood of Cincinnati, The BarrelHouse Brewing Company has since transitioned into a regionally distributed microbrewery offering an impressive selection of both innovative styles of ales and traditional lagers. Brewed and bottled in small batches with only honest ingredients, BarrelHouse beers are extremely fresh and exceptionally flavorful. Thank you for embracing our fiercely independent vision of a hand-crafted future for all! Operating as a brewpub from August 1995 until February 2005, The BarrelHouse Brewing Company recently relocated to our current location in the West End of downtown Cincinnati. We officially reopened with a completed expansion plan in April 2005. Our expansion included almost doubling our fermentation capacity as well as the addition of a brand new bottling line. Our first order of bottled beer hit Ohio area stores in June 2006 and we have subsequently begun to enter markets that were previously unavailable. The BarrelHouse Brewing Company brews on a 15 BBL brewhouse manufactured by Century. One BBL equals 31 gallons therefore; our beers are hand-crafted in 465 gallon batches. Our ales are ready after approximately fourteen days while our lagers are conditioned for upwards of six weeks. By brewing in small batches, our brewers are able to achieve an optimal level of quality control while creating a consistently flavorful product. While our brewing process is quite labor intensive, we believe that hand-crafting our beers sets us apart from the majority of breweries in the U.S. today. Our dedication is unparalleled and quite evident in the final packaged product.","2010-07-22 20:00:20"
